#name undefined
#comment terafly_annotations
#n type x y z radius parent seg_id level mode timestamp TFresindex
50436 2 12640.444 19695.777 4187.092 1.000 50437 0 8680820738548039680 0 0 0
50437 2 12645.111 19693.334 4186.203 1.000 50438 0 8680820738548039680 0 0 0
50435 2 12637.777 19696.000 4188.203 1.000 50436 0 8680820738548039680 0 0 0
58613 2 12717.556 19643.555 4162.423 1.000 58614 0 8680820738548039680 0 0 0
58614 2 12720.000 19642.223 4162.201 1.000 58615 0 8680820738548039680 0 0 0
58612 2 12716.000 19645.334 4163.089 1.000 58613 0 8680820738548039680 0 0 0
58611 2 12714.000 19646.000 4164.423 1.000 58612 0 8680820738548039680 0 0 0
58619 2 12734.667 19634.000 4155.088 1.000 58620 0 8680820738548039680 0 0 0
58618 2 12733.333 19635.555 4156.200 1.000 58619 0 8680820738548039680 0 0 0
58617 2 12731.556 19637.334 4156.645 1.000 58618 0 8680820738548039680 0 0 0
58615 2 12726.444 19641.777 4159.088 1.000 58616 0 8680820738548039680 0 0 0
58616 2 12728.667 19638.889 4158.200 1.000 58617 0 8680820738548039680 0 0 0
58609 2 12706.223 19645.777 4166.423 1.000 58610 0 8680820738548039680 0 0 0
50459 2 12709.777 19646.000 4166.201 1.000 -1 0 8680820738548039680 0 0 0
58610 2 12709.777 19646.000 4166.201 1.000 58611 0 8680820738548039680 0 0 0
50458 2 12708.642 19650.223 4166.621 1.000 50459 0 8680820738548039680 0 0 0
50457 2 12706.444 19652.666 4168.201 1.000 50458 0 8680820738548039680 0 0 0
50303 2 12553.777 20057.777 4290.436 1.000 50304 0 8680820738548039680 0 0 0
50302 2 12553.333 20059.111 4290.658 1.000 50303 0 8680820738548039680 0 0 0
50304 2 12554.223 20052.000 4288.658 1.000 50305 0 8680820738548039680 0 0 0
50300 2 12548.667 20064.445 4292.658 1.000 50301 0 8680820738548039680 0 0 0
50301 2 12551.333 20061.555 4292.214 1.000 50302 0 8680820738548039680 0 0 0
50299 2 12548.223 20066.445 4293.770 1.000 50300 0 8680820738548039680 0 0 0
50298 2 12550.667 20071.555 4296.214 1.000 50299 0 8680820738548039680 0 0 0
50297 2 12552.000 20075.777 4296.659 1.000 50298 0 8680820738548039680 0 0 0
50296 2 12552.000 20099.334 4303.104 1.000 50297 0 8680820738548039680 0 0 0
50295 2 12552.223 20108.445 4307.771 1.000 50296 0 8680820738548039680 0 0 0
50294 2 12554.667 20113.555 4310.215 1.000 50295 0 8680820738548039680 0 0 0
50293 2 12557.333 20116.666 4310.438 1.000 50294 0 8680820738548039680 0 0 0
50292 2 12558.889 20121.334 4312.216 1.000 50293 0 8680820738548039680 0 0 0
50291 2 12563.333 20122.000 4313.104 1.000 50292 0 8680820738548039680 0 0 0
50290 2 12565.333 20122.889 4314.216 1.000 50291 0 8680820738548039680 0 0 0
50289 2 12566.667 20127.334 4314.438 1.000 50290 0 8680820738548039680 0 0 0
50288 2 12567.556 20128.445 4314.438 1.000 50289 0 8680820738548039680 0 0 0
50287 2 12569.333 20130.000 4315.104 1.000 50288 0 8680820738548039680 0 0 0
50286 2 12570.667 20133.111 4316.661 1.000 50287 0 8680820738548039680 0 0 0
50285 2 12573.333 20134.889 4318.216 1.000 50286 0 8680820738548039680 0 0 0
50284 2 12574.000 20138.000 4318.438 1.000 50285 0 8680820738548039680 0 0 0
50283 2 12574.000 20141.334 4319.105 1.000 50284 0 8680820738548039680 0 0 0
50282 2 12575.333 20144.666 4320.439 1.000 50283 0 8680820738548039680 0 0 0
50281 2 12576.000 20152.000 4320.439 1.000 50282 0 8680820738548039680 0 0 0
50388 2 12576.000 20152.000 4320.439 1.000 -1 0 8680820738548039680 0 0 0
50387 2 12580.889 20154.666 4322.217 1.000 50388 0 8680820738548039680 0 0 0
50386 2 12581.777 20156.223 4322.439 1.000 50387 0 8680820738548039680 0 0 0
50385 2 12582.223 20160.445 4323.772 1.000 50386 0 8680820738548039680 0 0 0
50384 2 12585.111 20162.889 4324.439 1.000 50385 0 8680820738548039680 0 0 0
50383 2 12586.667 20167.111 4324.661 1.000 50384 0 8680820738548039680 0 0 0
50382 2 12589.333 20168.889 4326.217 1.000 50383 0 8680820738548039680 0 0 0
50381 2 12590.667 20175.334 4326.439 1.000 50382 0 8680820738548039680 0 0 0
50380 2 12592.223 20179.111 4327.106 1.000 50381 0 8680820738548039680 0 0 0
50379 2 12593.556 20180.666 4328.217 1.000 50380 0 8680820738548039680 0 0 0
50378 2 12597.111 20182.889 4328.439 1.000 50379 0 8680820738548039680 0 0 0
50377 2 12598.667 20187.555 4330.218 1.000 50378 0 8680820738548039680 0 0 0
50376 2 12601.333 20190.666 4330.440 1.000 50377 0 8680820738548039680 0 0 0
50374 2 12602.889 20193.777 4331.773 1.000 50375 0 8680820738548039680 0 0 0
50375 2 12602.223 20193.111 4331.106 1.000 50376 0 8680820738548039680 0 0 0
50373 2 12607.111 20194.666 4332.662 1.000 50374 0 8680820738548039680 0 0 0
50372 2 12607.777 20195.555 4333.106 1.000 50373 0 8680820738548039680 0 0 0
50371 2 12608.667 20199.334 4334.440 1.000 50372 0 8680820738548039680 0 0 0
50370 2 12611.333 20202.666 4334.440 1.000 50371 0 8680820738548039680 0 0 0
50369 2 12611.777 20204.000 4334.663 1.000 50370 0 8680820738548039680 0 0 0
50368 2 12612.667 20207.555 4336.218 1.000 50369 0 8680820738548039680 0 0 0
50367 2 12615.333 20210.666 4336.440 1.000 50368 0 8680820738548039680 0 0 0
50366 2 12616.000 20213.334 4337.107 1.000 50367 0 8680820738548039680 0 0 0
50365 2 12616.223 20219.111 4339.107 1.000 50366 0 8680820738548039680 0 0 0
50364 2 12617.333 20220.889 4340.219 1.000 50365 0 8680820738548039680 0 0 0
50363 2 12618.667 20225.111 4340.663 1.000 50364 0 8680820738548039680 0 0 0
50362 2 12619.777 20226.889 4341.774 1.000 50363 0 8680820738548039680 0 0 0
50361 2 12620.667 20231.334 4342.441 1.000 50362 0 8680820738548039680 0 0 0
50360 2 12622.667 20235.555 4344.219 1.000 50361 0 8680820738548039680 0 0 0
50359 2 12623.777 20238.223 4344.441 1.000 50360 0 8680820738548039680 0 0 0
50358 2 12624.223 20244.000 4346.219 1.000 50359 0 8680820738548039680 0 0 0
50357 2 12627.333 20248.666 4348.441 1.000 50358 0 8680820738548039680 0 0 0
50356 2 12628.667 20253.555 4350.220 1.000 50357 0 8680820738548039680 0 0 0
50355 2 12629.777 20256.000 4350.664 1.000 50356 0 8680820738548039680 0 0 0
50354 2 12630.223 20260.000 4352.220 1.000 50355 0 8680820738548039680 0 0 0
50353 2 12631.777 20262.889 4353.776 1.000 50354 0 8680820738548039680 0 0 0
50352 2 12632.667 20269.111 4354.665 1.000 50353 0 8680820738548039680 0 0 0
50351 2 12633.777 20270.889 4355.776 1.000 50352 0 8680820738548039680 0 0 0
50350 2 12635.777 20275.555 4357.109 1.000 50351 0 8680820738548039680 0 0 0
50349 2 12636.223 20282.445 4359.776 1.000 50350 0 8680820738548039680 0 0 0
50348 2 12637.777 20286.000 4360.665 1.000 50349 0 8680820738548039680 0 0 0
50347 2 12638.000 20290.223 4362.221 1.000 50348 0 8680820738548039680 0 0 0
50346 2 12638.667 20293.111 4362.665 1.000 50347 0 8680820738548039680 0 0 0
50345 2 12640.000 20296.223 4364.221 1.000 50346 0 8680820738548039680 0 0 0
50344 2 12640.000 20301.334 4365.110 1.000 50345 0 8680820738548039680 0 0 0
50343 2 12640.223 20306.445 4367.777 1.000 50344 0 8680820738548039680 0 0 0
50342 2 12642.000 20310.666 4369.777 1.000 50343 0 8680820738548039680 0 0 0
50341 2 12642.223 20318.445 4373.778 1.000 50342 0 8680820738548039680 0 0 0
50340 2 12643.777 20322.000 4374.667 1.000 50341 0 8680820738548039680 0 0 0
50339 2 12644.223 20329.111 4377.111 1.000 50340 0 8680820738548039680 0 0 0
50467 2 12644.223 20329.111 4377.111 1.000 -1 0 8680820738548039680 0 0 0
50461 2 12645.333 20330.889 4378.223 1.000 -1 0 8680820738548039680 0 0 0
50466 2 12645.333 20330.889 4378.223 1.000 50467 0 8680820738548039680 0 0 0
50463 2 12645.777 20337.777 4378.445 1.000 -1 0 8680820738548039680 0 0 0
50464 2 12645.777 20337.777 4378.445 1.000 50465 0 8680820738548039680 0 0 0
50551 2 12645.777 20337.777 4378.445 1.000 -1 0 8680820738548039680 0 0 0
50462 2 12645.111 20339.111 4378.445 1.000 50463 0 8680820738548039680 0 0 0
50460 2 12646.000 20334.000 4378.445 1.000 50461 0 8680820738548039680 0 0 0
50465 2 12646.000 20334.000 4378.445 1.000 -1 0 8680820738548039680 0 0 0
50549 2 12647.864 20338.975 4379.827 1.000 50550 0 8680820738548039680 0 0 0
50550 2 12647.259 20338.371 4379.481 1.000 50551 0 8680820738548039680 0 0 0
50548 2 12648.667 20340.223 4380.111 1.000 50549 0 8680820738548039680 0 0 0
50547 2 12649.667 20342.334 4381.000 1.000 50548 0 8680820738548039680 0 0 0
50546 2 12650.000 20345.889 4381.111 1.000 50547 0 8680820738548039680 0 0 0
50545 2 12650.000 20349.111 4382.889 1.000 50546 0 8680820738548039680 0 0 0
50544 2 12650.519 20350.814 4382.593 1.000 50545 0 8680820738548039680 0 0 0
50542 2 12651.556 20351.777 4381.778 1.000 -1 0 8680820738548039680 0 0 0
50543 2 12651.556 20351.777 4381.778 1.000 50544 0 8680820738548039680 0 0 0
50540 2 12651.852 20353.703 4384.150 1.000 -1 0 8680820738548039680 0 0 0
50541 2 12651.852 20353.703 4384.150 1.000 50542 0 8680820738548039680 0 0 0
50539 2 12652.444 20364.889 4388.003 1.000 50540 0 8680820738548039680 0 0 0
50538 2 12655.556 20372.000 4389.781 1.000 50539 0 8680820738548039680 0 0 0
50537 2 12656.444 20383.555 4393.338 1.000 50538 0 8680820738548039680 0 0 0
50536 2 12658.667 20388.889 4393.783 1.000 50537 0 8680820738548039680 0 0 0
50535 2 12660.000 20393.334 4396.005 1.000 50536 0 8680820738548039680 0 0 0
50534 2 12660.000 20403.555 4397.784 1.000 50535 0 8680820738548039680 0 0 0
50533 2 12660.000 20412.445 4400.896 1.000 50534 0 8680820738548039680 0 0 0
50532 2 12660.000 20423.555 4401.785 1.000 50533 0 8680820738548039680 0 0 0
50531 2 12660.000 20441.334 4408.009 1.000 50532 0 8680820738548039680 0 0 0
50530 2 12660.000 20451.555 4409.788 1.000 50531 0 8680820738548039680 0 0 0
50529 2 12660.000 20460.445 4412.900 1.000 50530 0 8680820738548039680 0 0 0
50528 2 12664.000 20474.666 4414.678 1.000 50529 0 8680820738548039680 0 0 0
54062 2 15039.556 17003.555 3338.339 1.000 54063 0 8680820738548039680 0 0 0
54061 2 15034.667 17008.445 3338.561 1.000 54062 0 8680820738548039680 0 0 0
54064 2 15048.000 16994.000 3336.339 1.000 54065 0 8680820738548039680 0 0 0
54063 2 15043.556 16997.555 3338.339 1.000 54064 0 8680820738548039680 0 0 0
54066 2 15055.556 16987.555 3336.339 1.000 54067 0 8680820738548039680 0 0 0
54065 2 15051.556 16991.555 3336.339 1.000 54066 0 8680820738548039680 0 0 0
54059 2 15032.444 17012.445 3340.339 1.000 54060 0 8680820738548039680 0 0 0
54060 2 15033.333 17011.555 3340.117 1.000 54061 0 8680820738548039680 0 0 0
50566 2 15005.556 17039.334 3344.562 1.000 50567 0 8680820738548039680 0 0 0
50570 2 15022.444 17022.445 3342.339 1.000 50571 0 8680820738548039680 0 0 0
50569 2 15015.556 17029.334 3342.562 1.000 50570 0 8680820738548039680 0 0 0
50568 2 15012.444 17030.666 3344.117 1.000 50569 0 8680820738548039680 0 0 0
50567 2 15010.444 17032.445 3344.340 1.000 50568 0 8680820738548039680 0 0 0
50564 2 14996.444 17044.445 3346.340 1.000 50565 0 8680820738548039680 0 0 0
50565 2 15002.444 17040.666 3346.118 1.000 50566 0 8680820738548039680 0 0 0
54058 2 15030.667 17014.666 3340.339 1.000 54059 0 8680820738548039680 0 0 0
50572 2 15030.000 17018.000 3340.339 1.000 -1 0 8680820738548039680 0 0 0
54057 2 15030.000 17018.000 3340.339 1.000 54058 0 8680820738548039680 0 0 0
50571 2 15025.777 17020.000 3341.673 1.000 50572 0 8680820738548039680 0 0 0
50562 2 14989.333 17053.334 3348.340 1.000 50563 0 8680820738548039680 0 0 0
50559 2 14980.444 17060.445 3350.340 1.000 50560 0 8680820738548039680 0 0 0
50560 2 14985.333 17057.334 3350.340 1.000 50561 0 8680820738548039680 0 0 0
50561 2 14988.000 17055.334 3349.007 1.000 50562 0 8680820738548039680 0 0 0
50563 2 14992.444 17048.445 3348.340 1.000 50564 0 8680820738548039680 0 0 0
50602 3 15912.000 15278.000 3071.000 1.000 50603 0 8680820738548039680 0 0 0
50603 3 15912.000 15278.444 3071.667 1.000 50604 0 8680820738548039680 0 0 0
50604 3 15912.000 15280.000 3072.000 1.000 50605 0 8680820738548039680 0 0 0
50605 3 15912.889 15283.111 3072.000 1.000 50606 0 8680820738548039680 0 0 0
50606 3 15913.000 15286.111 3071.111 1.000 50607 0 8680820738548039680 0 0 0
50607 3 15913.111 15288.889 3071.000 1.000 50608 0 8680820738548039680 0 0 0
50608 3 15913.667 15290.223 3070.889 1.000 50609 0 8680820738548039680 0 0 0
50609 3 15914.000 15292.111 3070.111 1.000 50610 0 8680820738548039680 0 0 0
50610 3 15914.444 15293.556 3070.000 1.000 50611 0 8680820738548039680 0 0 0
